Date,Close,High,Low,Open,Volume,Symbol,Adj Close
,DIVISLAB.NS,DIVISLAB.NS,DIVISLAB.NS,DIVISLAB.NS,DIVISLAB.NS,,
2024-03-27,3347.3056640625,3382.6386091569375,3329.5644549064227,3369.320448397843,506472,DIVISLAB.NS,3347.3056640625
2024-03-28,3424.283203125,3448.53426241431,3346.510539830936,3346.510539830936,1145370,DIVISLAB.NS,3424.283203125
2024-04-01,3546.184814453125,3568.1003540157144,3428.9543792073023,3428.9543792073023,651461,DIVISLAB.NS,3546.184814453125
2024-04-02,3600.402099609375,3613.819747185559,3533.512593162282,3549.2162588557844,675426,DIVISLAB.NS,3600.402099609375
2024-04-03,3662.42138671875,3703.270766794648,3589.022029859791,3641.4502458953298,799460,DIVISLAB.NS,3662.42138671875
2024-04-04,3711.420654296875,3732.9882318314567,3665.751006159873,3685.3805275783393,976430,DIVISLAB.NS,3711.420654296875
2024-04-05,3725.285400390625,3760.916804918468,3703.966298427891,3711.4702903717734,553607,DIVISLAB.NS,3725.285400390625
2024-04-08,3772.84375,3789.740047089041,3697.8540564497853,3727.124357876712,602786,DIVISLAB.NS,3772.84375
2024-04-09,3781.739013671875,3798.685053873658,3749.039807155102,3782.7826569971594,275295,DIVISLAB.NS,3781.739013671875
2024-04-10,3716.291015625,3753.0155664477757,3682.5479216924136,3740.0451249119023,1015345,DIVISLAB.NS,3716.291015625
2024-04-12,3756.64306640625,3785.7643793933867,3705.258494717392,3716.191392636354,573189,DIVISLAB.NS,3756.64306640625
2024-04-15,3693.87841796875,3747.0023147228185,3663.713461424975,3747.0023147228185,428141,DIVISLAB.NS,3693.87841796875
2024-04-16,3741.237548828125,3757.9351138653806,3663.7133650456603,3677.3794871868,318671,DIVISLAB.NS,3741.237548828125
2024-04-18,3686.27490234375,3758.034662631861,3672.658523498825,3756.941275782084,802591,DIVISLAB.NS,3686.27490234375
2024-04-19,3649.302001953125,3688.2133263647474,3618.7893253288735,3638.667322172207,746223,DIVISLAB.NS,3649.302001953125
2024-04-22,3714.70068359375,3721.856713972347,3652.5819430654265,3667.2419658301105,439590,DIVISLAB.NS,3714.70068359375
2024-04-23,3745.660400390625,3756.9910037503637,3707.246270015204,3714.7005185474063,307637,DIVISLAB.NS,3745.660400390625
2024-04-24,3790.53515625,3800.6231422938176,3742.5794902613593,3756.593332037195,473558,DIVISLAB.NS,3790.53515625
2024-04-25,3820.352294921875,3853.150989997301,3767.4271278683464,3810.612027854058,835354,DIVISLAB.NS,3820.352294921875
2024-04-26,3991.849609375,4014.3613430697396,3812.6494246339225,3826.5142784893533,1155173,DIVISLAB.NS,3991.849609375
2024-04-29,3964.914794921875,4074.98919826526,3946.8756105315456,4000.4467129311392,752787,DIVISLAB.NS,3964.914794921875
2024-04-30,3977.984619140625,4041.1967459708926,3949.3604978942594,3988.520054496112,360469,DIVISLAB.NS,3977.984619140625
2024-05-02,3940.46484375,3984.544398045077,3911.492760914542,3977.9845621401723,868450,DIVISLAB.NS,3940.46484375
2024-05-03,3926.848388671875,3966.654124419124,3876.209242103378,3940.9122165128624,348122,DIVISLAB.NS,3926.848388671875
2024-05-06,3938.824951171875,3964.6663462590486,3877.352150798205,3926.848409918517,271254,DIVISLAB.NS,3938.824951171875
2024-05-07,3887.53955078125,3945.3349692978463,3849.622370763195,3945.3349692978463,291924,DIVISLAB.NS,3887.53955078125
2024-05-08,3903.392578125,3927.295674815709,3849.523013442698,3879.191020304945,308127,DIVISLAB.NS,3903.392578125
2024-05-09,3766.83056640625,3924.960124498297,3732.292547733433,3910.001883708294,626179,DIVISLAB.NS,3766.83056640625
2024-05-10,3770.35888671875,3807.978091163567,3745.014441849545,3771.6012614672404,276308,DIVISLAB.NS,3770.35888671875
2024-05-13,3887.63916015625,3909.2067377989088,3701.282943224306,3753.0652210963253,608329,DIVISLAB.NS,3887.63916015625
2024-05-14,3872.432373046875,3930.8737301313035,3841.571735560713,3886.1482388908717,262796,DIVISLAB.NS,3872.432373046875
2024-05-15,3868.8046875,3925.854438553656,3843.9571926767494,3872.7305431518103,188401,DIVISLAB.NS,3868.8046875
2024-05-16,3907.169189453125,3920.934799052788,3806.6363194859764,3872.2337077591033,362920,DIVISLAB.NS,3907.169189453125
2024-05-17,3886.893798828125,3930.575648260781,3871.8363133144067,3910.9958699453227,267526,DIVISLAB.NS,3886.893798828125
