Date,Close,High,Low,Open,Volume,Symbol,Adj Close
,M&M.NS,M&M.NS,M&M.NS,M&M.NS,M&M.NS,,
2024-03-27,1867.4761962890625,1886.089905044868,1841.8141207209917,1856.3079710355792,4196597,M&M.NS,1867.4761962890625
2024-03-28,1907.384033203125,1948.6816261572972,1856.7547428971286,1867.4762881410124,3790854,M&M.NS,1907.384033203125
2024-04-01,1902.023193359375,1949.5750395557238,1878.048833096425,1923.912963632418,2765845,M&M.NS,1902.023193359375
2024-04-02,1957.6162109375,1963.1259174850597,1887.6286624253903,1902.0232646016398,3431715,M&M.NS,1957.6162109375
2024-04-03,1974.840087890625,1988.7383237282786,1941.9805904994878,1952.7021351903059,3615370,M&M.NS,1974.840087890625
2024-04-04,1988.142578125,2000.3532194514266,1948.9296986369943,1984.4695214309686,3007920,M&M.NS,1988.142578125
2024-04-05,1998.6656494140625,2012.7126980760233,1977.768610477541,1980.846052769981,2767027,M&M.NS,1998.6656494140625
2024-04-08,2062.99462890625,2071.829838891397,2002.2394119031342,2003.331391894029,2781568,M&M.NS,2062.99462890625
2024-04-09,2075.701416015625,2083.3950822480874,2055.052802471621,2079.7717105817783,2853137,M&M.NS,2075.701416015625
2024-04-10,2061.1083984375,2093.273033636464,2054.953513681318,2083.196666881659,2280814,M&M.NS,2061.1083984375
2024-04-12,2055.896484375,2072.3262330431044,2036.7367251004916,2068.8516740894993,4008660,M&M.NS,2055.896484375
2024-04-15,2038.523681640625,2068.75229594566,2020.2078408442537,2040.310646140124,2024919,M&M.NS,2038.523681640625
2024-04-16,2016.5347900390625,2058.676177975783,2013.0105460592617,2032.1703053148278,1981730,M&M.NS,2016.5347900390625
2024-04-18,2010.23095703125,2071.8299753020033,2001.8424270227551,2016.5348969786933,3539862,M&M.NS,2010.23095703125
2024-04-19,2067.759521484375,2071.82981596093,1983.675245371138,2019.2150674003506,3253248,M&M.NS,2067.759521484375
2024-04-22,2075.453369140625,2117.495632058755,2049.9899110179695,2109.1071019614483,2449171,M&M.NS,2075.453369140625
2024-04-23,2047.607421875,2098.633707407666,2041.8992176093452,2080.7645462282253,2886136,M&M.NS,2047.607421875
2024-04-24,2043.4874267578125,2075.65206205936,2038.027405327236,2040.0625526972888,1929834,M&M.NS,2043.4874267578125
2024-04-25,2081.6083984375,2098.5839555981966,2027.0577493073852,2045.0261587961295,3084498,M&M.NS,2081.6083984375
2024-04-26,2030.0360107421875,2087.7136679648142,2023.9803747911587,2084.2887938728813,2952484,M&M.NS,2030.0360107421875
2024-04-29,2047.061279296875,2053.3155339019286,1986.4549952126156,2030.6315305884084,2724604,M&M.NS,2047.061279296875
2024-04-30,2140.676025390625,2153.2339781554524,2057.9814677517465,2057.9814677517465,5745143,M&M.NS,2140.676025390625
2024-05-02,2169.266357421875,2187.9794363900323,2149.3622919228337,2149.3622919228337,3347541,M&M.NS,2169.266357421875
2024-05-03,2177.059326171875,2193.9357550569284,2156.5595256784873,2193.9357550569284,3859227,M&M.NS,2177.059326171875
2024-05-06,2208.777099609375,2223.717751726991,2174.0811947687994,2184.4551866998613,2111447,M&M.NS,2208.777099609375
2024-05-07,2175.5703125,2220.6402097071464,2149.114124332039,2219.7468486196667,1727823,M&M.NS,2175.5703125
2024-05-08,2166.536376953125,2179.0448864596137,2144.2992960149277,2175.768825173057,1993202,M&M.NS,2166.536376953125
2024-05-09,2196.46728515625,2240.345952129658,2169.117494362824,2169.6635449513087,3998822,M&M.NS,2196.46728515625
2024-05-10,2177.109130859375,2215.428408426071,2167.132134173419,2195.7725252430027,3045912,M&M.NS,2177.109130859375
2024-05-13,2168.373046875,2192.0000970721912,2144.299316126817,2191.9504120407464,2575573,M&M.NS,2168.373046875
2024-05-14,2253.400390625,2263.7746252663514,2159.19029933821,2159.19029933821,3830189,M&M.NS,2253.400390625
2024-05-15,2285.56494140625,2300.306853346706,2239.601441366008,2264.717587563747,2569084,M&M.NS,2285.56494140625
2024-05-16,2354.510009765625,2376.498906902208,2269.5818148455205,2302.5901242477366,7444517,M&M.NS,2354.510009765625
2024-05-17,2496.32177734375,2539.35652608037,2407.7205246691838,2407.7205246691838,9796445,M&M.NS,2496.32177734375
2024-05-21,2504.313232421875,2518.509336871914,2449.067838801081,2484.8061615399697,3747292,M&M.NS,2504.313232421875
2024-05-22,2502.724853515625,2516.573404249241,2471.9005035820946,2503.3700318010847,2974921,M&M.NS,2502.724853515625
2024-05-23,2590.234130859375,2598.3744780133875,2482.0761179197743,2501.682558607272,4715263,M&M.NS,2590.234130859375
2024-05-24,2560.998291015625,2586.0647535984895,2553.701619812425,2570.9752879624034,2919241,M&M.NS,2560.998291015625
2024-05-27,2530.571044921875,2570.9254688005512,2522.5298257446475,2562.38788405352,3328559,M&M.NS,2530.571044921875
2024-05-28,2534.244140625,2563.182156843055,2529.478982608424,2531.4644449181637,1549203,M&M.NS,2534.244140625
2024-05-29,2515.233154296875,2528.4862119537515,2482.423584033778,2492.003342582216,2720451,M&M.NS,2515.233154296875
2024-05-30,2475.375244140625,2513.0493446608593,2459.9879105596424,2499.697158510565,3367101,M&M.NS,2475.375244140625
2024-05-31,2488.032470703125,2550.5248487758636,2477.0130578765015,2499.4488790474984,8769724,M&M.NS,2488.032470703125
2024-06-03,2614.853759765625,2635.0559349243354,2551.7159638362755,2556.332308945664,2701157,M&M.NS,2614.853759765625
2024-06-04,2554.197998046875,2619.817627069559,2430.404466339868,2615.102153887073,6372249,M&M.NS,2554.197998046875
2024-06-05,2721.0263671875,2733.683689210767,2553.105991958557,2554.197850791944,4242881,M&M.NS,2721.0263671875
2024-06-06,2680.225341796875,2741.8241168997433,2651.485580580543,2725.047057101152,4992660,M&M.NS,2680.225341796875
2024-06-07,2836.6796875,2846.7560544878343,2648.954365082014,2648.954365082014,6447821,M&M.NS,2836.6796875
2024-06-10,2787.142333984375,2865.022042701021,2779.647165475696,2840.203764437845,2021106,M&M.NS,2787.142333984375
2024-06-11,2814.93896484375,2834.247537951337,2792.9498236393365,2800.494677604456,2298974,M&M.NS,2814.93896484375
2024-06-12,2767.287841796875,2827.8941286451413,2761.827820321644,2814.938938307982,2580846,M&M.NS,2767.287841796875
2024-06-13,2840.898681640625,2858.172349059032,2768.379622706924,2829.2837756663534,2492637,M&M.NS,2840.898681640625
2024-06-14,2907.3125,2924.585924809092,2844.174702843872,2854.1020141976032,3515019,M&M.NS,2907.3125
2024-06-18,2940.370361328125,2991.595386748469,2935.158522675253,2943.4479249076526,4887512,M&M.NS,2940.370361328125
2024-06-19,2912.5244140625,2955.3606667193694,2905.1780580504465,2953.375204397086,3512298,M&M.NS,2912.5244140625
2024-06-20,2850.32958984375,2933.2723247481917,2836.530723996682,2923.6428812000504,4024418,M&M.NS,2850.32958984375
2024-06-21,2819.306884765625,2899.6684258435357,2804.515287032455,2863.7812903962067,8400461,M&M.NS,2819.306884765625
2024-06-24,2894.60546875,2902.6961304891265,2792.6023454447522,2815.8818419010713,2699784,M&M.NS,2894.60546875
2024-06-25,2888.251953125,2925.5787418575737,2870.0354816755557,2899.9662293396063,1910886,M&M.NS,2888.251953125
2024-06-26,2830.77294921875,2891.776231529168,2823.9232010486858,2885.919214535403,3282318,M&M.NS,2830.77294921875
