Date,Close,High,Low,Open,Volume,Symbol,Adj Close
,RELIANCE.NS,RELIANCE.NS,RELIANCE.NS,RELIANCE.NS,RELIANCE.NS,,
2025-03-11,1247.300048828125,1249.5,1229.75,1240.0,10089838,RELIANCE.NS,1247.300048828125
2025-03-12,1257.050048828125,1263.0,1244.0,1258.0,11977555,RELIANCE.NS,1257.050048828125
2025-03-13,1247.9000244140625,1264.1500244140625,1243.8499755859375,1260.050048828125,9505270,RELIANCE.NS,1247.9000244140625
2025-03-17,1238.8499755859375,1257.4000244140625,1233.0999755859375,1242.1500244140625,16640917,RELIANCE.NS,1238.8499755859375
2025-03-18,1238.8499755859375,1238.8499755859375,1238.8499755859375,1238.8499755859375,0,RELIANCE.NS,1238.8499755859375
2025-03-19,1247.1500244140625,1253.25,1238.800048828125,1241.050048828125,16162399,RELIANCE.NS,1247.1500244140625
2025-03-20,1269.1500244140625,1273.0,1250.050048828125,1251.8499755859375,15971477,RELIANCE.NS,1269.1500244140625
2025-03-21,1276.3499755859375,1281.0,1270.0999755859375,1275.0,21780769,RELIANCE.NS,1276.3499755859375
2025-03-24,1302.0999755859375,1306.0,1284.25,1291.0,20299319,RELIANCE.NS,1302.0999755859375
2025-03-25,1285.449951171875,1307.699951171875,1282.5999755859375,1307.699951171875,13713899,RELIANCE.NS,1285.449951171875
2025-03-26,1273.050048828125,1293.800048828125,1268.75,1291.0,12074747,RELIANCE.NS,1273.050048828125
2025-03-27,1278.199951171875,1285.0,1271.300048828125,1278.1500244140625,15028056,RELIANCE.NS,1278.199951171875
2025-03-28,1275.0999755859375,1295.75,1269.0,1280.0,18147129,RELIANCE.NS,1275.0999755859375
2025-04-01,1252.5999755859375,1277.9000244140625,1249.300048828125,1264.5999755859375,12099648,RELIANCE.NS,1252.5999755859375
2025-04-02,1251.1500244140625,1255.550048828125,1243.9000244140625,1247.550048828125,10142590,RELIANCE.NS,1251.1500244140625
2025-04-03,1248.699951171875,1251.800048828125,1233.050048828125,1233.050048828125,7434366,RELIANCE.NS,1248.699951171875
2025-04-04,1204.699951171875,1245.449951171875,1193.1500244140625,1241.0999755859375,17908652,RELIANCE.NS,1204.699951171875
2025-04-07,1165.699951171875,1171.25,1114.8499755859375,1132.199951171875,22156106,RELIANCE.NS,1165.699951171875
2025-04-08,1182.199951171875,1196.5999755859375,1163.300048828125,1172.0,19555040,RELIANCE.NS,1182.199951171875
2025-04-09,1185.3499755859375,1189.800048828125,1168.0,1169.5,10223104,RELIANCE.NS,1185.3499755859375
