Date,Close,High,Low,Open,Volume,Symbol,Adj Close
,HEROMOTOCO.NS,HEROMOTOCO.NS,HEROMOTOCO.NS,HEROMOTOCO.NS,HEROMOTOCO.NS,,
2024-03-27,4428.12060546875,4549.608313323542,4415.967200671636,4543.797830164764,693528,HEROMOTOCO.NS,4428.12060546875
2024-03-28,4573.140625,4599.965878317946,4438.434634092136,4458.577453426489,1086607,HEROMOTOCO.NS,4573.140625
2024-04-01,4532.9033203125,4628.776295521801,4514.842495816963,4590.281843354431,664163,HEROMOTOCO.NS,4532.9033203125
2024-04-02,4416.74169921875,4537.45486394295,4379.167430971173,4503.124403807155,1342779,HEROMOTOCO.NS,4416.74169921875
2024-04-03,4413.255859375,4457.851128761941,4383.5253645448165,4440.080639748787,681469,HEROMOTOCO.NS,4413.255859375
2024-04-04,4380.08740234375,4445.0193587348895,4321.788702220943,4440.17728971666,1378250,HEROMOTOCO.NS,4380.08740234375
2024-04-05,4381.9755859375,4421.390217432417,4327.2119737299,4338.978107034696,605460,HEROMOTOCO.NS,4381.9755859375
2024-04-08,4449.95849609375,4463.27418629003,4382.169527821777,4396.598799353719,711580,HEROMOTOCO.NS,4449.95849609375
2024-04-09,4378.876953125,4525.639878204517,4362.704253209512,4469.229773265682,945922,HEROMOTOCO.NS,4378.876953125
2024-04-10,4352.92333984375,4407.929530492114,4334.523476608997,4407.929530492114,515061,HEROMOTOCO.NS,4352.92333984375
2024-04-12,4300.53173828125,4379.941668485,4291.041472351436,4366.577747423296,438331,HEROMOTOCO.NS,4300.53173828125
2024-04-15,4242.81494140625,4300.289925017428,4230.9518717643205,4290.073348060973,645166,HEROMOTOCO.NS,4242.81494140625
2024-04-16,4186.35595703125,4306.003766753205,4152.60664124273,4206.7895829565905,719918,HEROMOTOCO.NS,4186.35595703125
2024-04-18,4117.017578125,4259.713452342182,4097.940109149007,4220.347524229148,1103254,HEROMOTOCO.NS,4117.017578125
2024-04-19,4080.60546875,4116.969218247119,4036.4939358986076,4116.969218247119,674079,HEROMOTOCO.NS,4080.60546875
2024-04-22,4175.703125,4198.073577041008,4074.019681957484,4105.929103941278,619635,HEROMOTOCO.NS,4175.703125
2024-04-23,4207.806640625,4230.903406786174,4151.493466730018,4200.979511751317,547228,HEROMOTOCO.NS,4207.806640625
2024-04-24,4254.58056640625,4266.201531196675,4198.170466486061,4222.28387385454,658601,HEROMOTOCO.NS,4254.58056640625
2024-04-25,4356.2158203125,4372.388520706283,4228.966335344673,4261.989342110376,1103462,HEROMOTOCO.NS,4356.2158203125
2024-04-26,4349.7275390625,4397.373214531094,4325.372026449873,4367.788361945589,497777,HEROMOTOCO.NS,4349.7275390625
